brand,model,condition,warranty,screen_size,processor,ram,card,hard_driver,made_in,information,hard_driver_kind,price
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3,15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,256 GB,US,In trên bao bì,SSD,7600000
Asus,Dòng Khác,Đã sử dụng (chưa sửa chữa),3,15 - 16.9 inch,Intel Core i5,8 GB,NVIDIA,256 GB,Unknown,In trên bao bì,SSD,5400000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3,11 - 12.9 inch,Intel Core i5,8 GB,Onboard,256 GB,US,In trên bao bì,SSD,3950000
Apple,MacBook Pro,Mới,3,15 - 16.9 inch,Intel Core i9,16 GB,NVIDIA,512 GB,US,In trên bao bì,SSD,14500000
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,8 GB,NVIDIA,256 GB,VietNam,In trên bao bì,SSD,5990000
Hãng khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),3,17 - 18.9 inch,Intel Core i7,8 GB,Onboard,256 GB,Japan,In trên bao bì,SSD,4950000
HP,Elitebook,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i7,16 GB,Onboard,512 GB,US,In trên bao bì,SSD,5000000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Unknown,In trên bao bì,,14900000
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,US,In trên bao bì,SSD,3300000
MSI,GF Series,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Unknown,In trên bao bì,,14900000
Apple,MacBook Pro,Đã sử dụng (qua sửa chữa),1,13 - 14.9 inch,Intel Core i5,16 GB,Onboard,256 GB,Unknown,In trên bao bì,SSD,7500000
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Japan,In trên bao bì,SSD,2500000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),6,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Unknown,In trên bao bì,SSD,3800000
Dell,Inspiron,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i3,4 GB,Onboard,128,Unknown,In trên bao bì,SSD,1200000
Dell,Precision,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Unknown,In trên bao bì,,14000000
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i7,16 GB,Onboard,512 GB,Unknown,In trên bao bì,,14000000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),1,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Japan,In trên bao bì,SSD,4600000
Apple,MacBook Pro Touch Bar,Đã sử dụng (chưa sửa chữa),1,13 - 14.9 inch,Intel Core i7,16 GB,Onboard,256 GB,Japan,In trên bao bì,SSD,7700000
Acer,Aspire,Mới,3,15 - 16.9 inch,Intel Core i5,16 GB,NVIDIA,250 GB,US,In trên bao bì,SSD,4800000
Dell,Latitude,Mới,12,13 - 14.9 inch,Intel Core i5,32 GB,Onboard,512 GB,US,In trên bao bì,SSD,21990000
Hãng khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),1,11 - 12.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Japan,In trên bao bì,SSD,3330000
Lenovo,ThinkPad,Mới,1,15 - 16.9 inch,Intel Core i7,32 GB,NVIDIA,512 GB,US,In trên bao bì,SSD,21900000
Asus,VivoBook Seriers,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,16 GB,Onboard,512 GB,VietNam,In trên bao bì,SSD,12990000
Apple,MacBook,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,16 GB,Onboard,512 GB,Unknown,In trên bao bì,SSD,16600000
HP,Elitebook,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Japan,In trên bao bì,SSD,7000000
Acer,Aspire,Mới,3,15 - 16.9 inch,Intel Core i7,8 GB,Onboard,512 GB,VietNam,In trên bao bì,SSD,10990000
Dell,Inspiron,Đã sử dụng (chưa sửa chữa),1,15 - 16.9 inch,Intel Core i5,8 GB,Onboard,256 GB,VietNam,In trên bao bì,SSD,4900000
Acer,Aspire,Đã sử dụng (chưa sửa chữa),3,15 - 16.9 inch,Intel Core i5,16 GB,NVIDIA,512 GB,Unknown,In trên bao bì,,8500000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Unknown,In trên bao bì,,6500000
Asus,Zenbook Series,Đã sử dụng (chưa sửa chữa),0,13 - 14.9 inch,Intel Core i5,4 GB,Onboard,500 GB,Other,In trên bao bì,HDD,6000000
Acer,Dòng Khác,Đã sử dụng (chưa sửa chữa),3,11 - 12.9 inch,Intel Pentium,4 GB,Onboard,128 GB,VietNam,In trên bao bì,SSD,2800000
HP,ProBook,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Pentium,4 GB,Onboard,128 GB,Unknown,In trên bao bì,SSD,1490000
Apple,Macbook Air M3,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,> 32GB,Onboard,256 GB,US,In trên bao bì,SSD,24500000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Unknown,In trên bao bì,,4200000
Asus,Zenbook Series,Mới,3,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,512 GB,VietNam,In trên bao bì,SSD,13500000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),6,13 - 14.9 inch,Intel Core i5,8 GB,NVIDIA,256 GB,US,In trên bao bì,SSD,7550000
Apple,MacBook Pro,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,16 GB,Onboard,512 GB,VietNam,In trên bao bì,SSD,36900000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3,15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,256 GB,US,In trên bao bì,SSD,7000000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),6,15 - 16.9 inch,Intel Core i7,16 GB,Onboard,512 GB,US,In trên bao bì,SSD,11900000
Asus,FX Series/ZX Series,Đã sử dụng (chưa sửa chữa),0,15 - 16.9 inch,Ryzen 7,16 GB,NVIDIA,512 GB,VietNam,In trên bao bì,SSD,9999000
Apple,MacBook Air,Đã sử dụng (chưa sửa chữa),0,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,US,In trên bao bì,SSD,5500000
Apple,MacBook Air M1,Đã sử dụng (chưa sửa chữa),0,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,US,In trên bao bì,,12000000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Unknown,In trên bao bì,,12900000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),3,13 - 14.9 inch,Intel Core i7,16 GB,Onboard,256 GB,US,In trên bao bì,SSD,14900000
